episode,total_reward,steps,checkpoints,laps,epsilon
739,524.5,90,3,0,0.2266
740,139.0,32,1,0,0.2262
741,441.0,87,2,0,0.2257
742,451.5,88,2,0,0.2253
743,419.0,79,2,0,0.2248
744,504.0,96,2,0,0.2244
745,414.0,78,2,0,0.2239
746,548.0,98,3,0,0.2235
747,583.5,104,3,0,0.2230
748,1109.0,190,5,0,0.2226
749,434.0,82,2,0,0.2221
750,939.0,165,4,0,0.2217
751,954.5,167,4,0,0.2212
752,484.0,92,2,0,0.2208
753,511.5,191,3,0,0.2204
754,454.0,86,2,0,0.2199
755,3524.0,583,5,1,0.2195
756,909.0,159,4,1,0.2190
757,914.0,160,4,1,0.2186
758,1065.0,187,5,1,0.2182
759,1059.0,180,5,1,0.2177
760,1096.5,190,5,1,0.2173
761,1094.0,187,5,1,0.2169
762,1084.0,185,5,1,0.2164
763,464.5,87,2,1,0.2160
764,1139.0,196,5,1,0.2156
765,449.0,85,2,1,0.2151
766,464.0,88,2,1,0.2147
767,444.0,84,2,1,0.2143
768,1104.0,189,5,1,0.2138
769,548.0,98,3,1,0.2134
770,479.0,91,2,1,0.2130
771,489.5,92,2,1,0.2126
772,1124.0,193,5,1,0.2121
773,1109.5,189,5,1,0.2117
774,579.0,111,2,1,0.2113
775,1109.0,190,5,1,0.2109
776,569.5,99,3,1,0.2104
777,474.0,90,2,1,0.2100
778,244.0,53,1,1,0.2096
779,1094.0,187,5,1,0.2092
780,894.0,156,4,1,0.2088
781,2984.0,502,2,2,0.2083
782,454.0,86,2,2,0.2079
783,494.0,94,2,2,0.2075
784,411.5,80,2,2,0.2071
785,424.5,79,2,2,0.2067
786,639.0,114,3,2,0.2063
787,1125.0,191,5,2,0.2059
788,940.0,163,4,2,0.2054
789,884.5,153,4,2,0.2050
790,510.0,95,2,2,0.2046
791,429.0,81,2,2,0.2042
792,469.0,89,2,2,0.2038
793,1140.0,194,5,2,0.2034
794,415.0,76,2,2,0.2030
795,485.0,90,2,2,0.2026
796,1119.5,191,5,2,0.2022
797,499.5,94,2,2,0.2018
798,825.0,262,4,2,0.2014
799,1158.5,201,5,2,0.2010
800,1094.0,187,5,2,0.2006
801,498.5,96,2,2,0.2002
802,958.0,171,4,2,0.1998
803,464.0,88,2,2,0.1994
804,1109.5,189,5,2,0.1990
805,1094.5,186,5,2,0.1986
806,1124.5,192,5,2,0.1982
807,449.0,85,2,2,0.1978
808,479.0,91,2,2,0.1974
809,464.5,87,2,2,0.1970
810,449.0,85,2,2,0.1966
811,394.0,74,2,2,0.1962
